Column1,Column2
"Light Intensity, Ch A vs Angular Position, Ch 1&2, Run #9",
"Angular Position, Ch 1&2 ( deg )","Light Intensity, Ch A ( % max )"
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-0.3,0.9
-4.2,1.0
-18.7,1.2
-35.5,1.0
-56.7,1.0
-85.8,1.0
-121.3,1.0
-153.2,1.0
-175.7,1.2
-199.8,1.0
-223.5,1.0
-240.3,1.0
-254.0,1.0
-269.3,1.1
-281.7,1.1
-294.2,1.0
-308.5,1.0
-321.3,1.1
-330.5,1.1
-336.5,1.1
-339.8,1.1
-340.5,1.1
-340.3,1.1
-340.3,1.1
-340.3,1.2
-340.3,1.2
-340.3,1.2
-340.3,1.3
-340.3,1.3
-340.3,1.3
-340.3,1.4
-340.3,1.4
-340.3,1.6
-340.3,1.7
-340.3,1.9
-340.3,2.3
-340.3,6.1
-340.3,10.4
-340.3,4.6
-340.3,2.3
-340.3,2.3
-340.3,2.9
-340.3,5.4
-340.3,13.6
-340.3,10.9
-340.3,2.9
-340.3,2.1
-340.3,2.0
-340.3,1.9
-340.3,1.9
-340.3,1.8
-340.3,2.0
-340.3,2.2
-340.3,2.6
-340.3,3.0
-340.3,3.3
-340.3,3.6
-340.3,3.9
-340.3,4.1
-340.3,4.6
-340.3,5.1
-340.3,6.9
-340.3,11.8
-340.3,5.9
-340.3,5.5
-340.3,7.5
-340.3,4.1
-340.3,3.4
-340.3,3.5
-340.3,2.5
-340.3,2.3
-340.3,2.2
-340.3,2.2
-340.3,2.2
-340.3,2.2
-341.7,2.2
-347.5,2.2
-356.3,2.2
-367.5,2.2
-383.3,2.3
-397.3,2.2
-411.5,2.2
-423.7,2.2
-435.0,2.2
-446.3,2.3
-459.7,2.2
-472.5,2.3
-488.7,2.3
-500.2,2.3
-507.7,2.3
-512.5,2.3
-518.2,2.3
-530.7,2.3
-546.0,2.3
-560.7,2.4
-576.5,2.4
-596.5,2.5
-621.0,2.6
-638.0,2.7
-647.8,2.8
-655.2,2.9
-662.5,3.0
-675.5,3.2
-687.0,3.3
-701.0,3.5
-717.7,3.8
-735.0,4.1
-748.5,4.3
-757.5,4.5
-767.0,4.8
-775.0,5.1
-788.0,5.6
-803.8,6.3
-816.3,6.8
-830.5,7.6
-844.8,8.5
-858.3,9.5
-868.5,10.4
-876.2,11.1
-885.5,12.1
-891.3,13.0
-898.8,16.1
-907.0,25.0
-918.8,46.0
-931.7,100.4
-943.8,100.4
-955.0,43.0
-967.8,17.3
-980.5,12.6
-995.8,11.0
-1010.8,9.6
-1024.2,8.4
-1039.3,7.4
-1055.3,6.6
-1068.0,6.0
-1079.5,5.6
-1088.0,5.4
-1097.8,5.0
-1111.5,4.5
-1129.5,3.9
-1156.3,3.4
-1184.3,3.1
-1212.8,2.8
-1243.3,2.5
-1270.5,2.4
-1295.3,2.3
-1315.0,2.2
-1326.0,2.2
-1331.0,2.2
-1336.0,2.2
-1341.5,2.2
-1348.0,2.2
-1356.5,2.2
-1366.8,2.2
-1378.8,2.2
-1387.5,2.2
-1397.8,2.2
-1403.5,2.2
-1414.5,2.2
-1422.3,2.3
-1430.5,2.3
-1442.5,2.3
-1452.3,2.3
-1463.3,2.3
-1475.0,2.3
-1487.8,2.3
-1505.7,2.4
-1530.0,2.5
-1559.5,3.2
-1586.8,4.1
-1606.8,5.0
-1617.0,7.0
-1631.5,8.3
-1644.7,5.6
-1654.0,5.5
-1668.2,5.4
-1678.5,5.3
-1690.8,5.2
-1711.3,11.6
-1735.5,3.8
-1748.0,3.7
-1760.0,14.1
-1765.2,19.7
-1772.0,18.9
-1785.0,3.4
-1806.8,2.3
-1838.5,2.1
-1882.2,2.1
-1914.5,1.8
-1931.8,1.8
-1942.8,1.8
-1954.3,1.9
-1973.0,2.4
-1983.0,4.1
-1997.5,24.1
-2020.2,2.1
-2043.8,8.8
-2068.7,5.8
-2093.7,1.6
-2119.7,1.4
-2154.0,1.3
-2188.7,1.1
-2211.7,1.1
-2226.5,1.0
-2240.7,1.0
-2258.7,1.0
-2276.2,1.0
-2293.5,1.1
-2308.0,1.0
-2321.5,0.9
-2335.5,0.9
-2347.7,0.9
-2358.7,0.9
-2375.7,1.0
-2397.5,0.8
-2416.7,0.8
-2422.2,0.8
-2423.5,0.8
-2427.7,0.8
-2439.0,0.8
-2447.0,0.8
-2462.2,0.8
-2479.2,0.8
-2491.2,0.8
-2502.5,0.8
-2510.2,0.8
-2521.0,0.8
-2533.7,0.8
-2546.0,1.0
-2558.0,1.1
-2574.0,0.8
-2585.7,0.7
-2596.2,0.7
-2606.3,0.7
-2612.7,0.7
-2616.0,0.7
-2620.5,0.6
-2626.0,0.6
-2633.7,0.6
-2640.7,0.6
-2644.3,0.6
-2647.5,0.6
-2652.7,0.6
-2662.5,0.6
-2678.2,0.6
-2693.5,1.1
-2709.5,0.8
-2730.2,0.6
-2746.5,0.5
-2765.5,0.5
-2785.5,0.5
-2801.0,0.5
-2813.7,0.5
-2826.2,0.5
-2837.0,0.5
-2849.2,0.5
-2857.7,0.5
-2868.2,0.5
-2882.5,0.5
-2899.7,0.5
-2911.2,0.4
-2922.7,0.4
-2933.0,0.4
-2941.7,0.4
-2947.3,0.4
-2954.0,0.4
-2964.5,0.4
-2974.5,0.4
-2984.8,0.4
-2994.2,0.4
-3003.8,0.5
-3009.8,0.5
-3020.7,0.7
-3032.7,2.2
-3043.5,2.0
-3057.5,0.5
-3069.0,0.4
-3075.7,0.4
-3079.0,0.4
-3082.0,0.4
-3088.0,0.3
-3097.5,0.3
-3113.7,0.3
-3127.5,0.3
-3133.0,0.3
-3135.2,0.3
-3138.5,0.3
-3149.5,0.3
-3162.0,0.3
-3169.3,0.3
-3176.5,0.3
-3175.7,0.3
-3181.2,0.3
-3195.2,0.6
-3211.5,0.4
-3223.3,0.3
-3234.8,0.3
-3241.5,0.2
-3249.0,0.2
-3261.0,0.2
-3268.7,0.2
-3276.2,0.2
-3287.8,0.3
-3294.2,0.3
-3299.0,0.3
-3304.0,0.3
-3310.5,0.2
-3319.2,0.2
-3325.5,0.2
-3332.3,0.2
-3337.7,0.2
-3341.7,0.3
-3343.3,0.3
-3345.5,0.3
-3348.3,0.3
-3352.7,0.4
-3361.5,0.4
-3375.5,0.2
-3389.2,0.2
-3399.0,0.2
-3402.7,0.2
-3405.0,0.2
-3408.5,0.2
-3413.8,0.2
-3420.0,0.2
-3427.2,0.2
-3433.5,0.2
-3440.2,0.2
-3447.5,0.2
-3454.2,0.2
-3461.5,0.2
-3470.7,0.2
-3479.0,0.2
-3486.0,0.2
-3495.7,0.2
-3506.8,0.2
-3516.3,0.2
-3523.2,0.2
-3527.7,0.2
-3530.7,0.2
-3536.7,0.2
-3544.5,0.2
-3551.5,0.2
-3558.7,0.2
-3569.5,0.2
-3578.5,0.2
-3586.7,0.2
-3596.0,0.2
-3604.3,0.2
-3612.3,0.2
-3620.5,0.2
-3627.5,0.2
-3634.8,0.2
-3644.3,0.2
-3651.8,0.2
-3664.5,0.2
-3672.0,0.2
-3679.7,0.2
-3689.7,0.2
-3703.8,0.2
-3714.7,0.2
-3728.5,0.2
-3740.5,0.2
-3751.7,0.2
-3763.5,0.2
-3772.3,0.2
-3778.2,0.2
-3782.7,0.2
-3787.0,0.2
-3790.8,0.2
-3793.3,0.2
-3795.7,0.2
-3798.5,0.2
-3803.7,0.2
-3809.8,0.2
-3817.2,0.2
-3820.5,0.2
-3823.5,0.2
-3828.5,0.2
-3836.5,0.2
-3846.7,0.2
-3857.5,0.2
-3869.8,0.2
-3883.0,0.2
-3891.8,0.2
-3902.5,0.2
-3911.7,0.2
-3919.5,0.2
-3926.3,0.2
-3930.5,0.2
-3933.0,0.2
-3934.5,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3934.7,0.2
-3936.0,0.2
-3939.5,0.2
-3943.2,0.2
-3946.2,0.2
-3948.7,0.2
-3950.5,0.2
-3951.7,0.2
-3952.7,0.2
-3953.2,0.2
-3953.5,0.2
-3954.0,0.2
-3955.5,0.2
-3958.8,0.2
-3963.0,0.2
-3968.7,0.2
-3972.3,0.2
-3976.5,0.2
-3982.5,0.2
-3992.0,0.2
-4002.7,0.2
-4014.2,0.2
-4026.7,0.2
-4039.7,0.2
-4052.8,0.2
-4061.5,0.2
-4065.7,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.3
-4066.5,0.3
-4066.5,0.2
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.2
-4066.5,0.3
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.2
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.2
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.3
-4066.5,0.4
-4066.5,0.4
-4066.5,0.4
-4066.5,0.4
-4066.5,0.4
-4066.5,0.4
-4066.5,0.4
-4066.5,0.5
-4066.5,0.5
-4067.0,0.5
-4066.8,0.5
-4066.8,0.5
-4066.8,0.5
-4066.8,0.5
-4067.0,0.5
-4067.0,0.5
-4067.0,0.5
-4067.0,0.5
-4067.0,0.5
-4067.0,0.5
-4066.8,0.5
-4066.5,0.5
-4066.5,0.5
-4066.5,0.5
-4066.5,0.5
-4066.5,0.5
